"","text"
"158","  mendagri  pemda melakukn  terobosan     mengumpulkan masyarakat   mengiku"
"159","  suksesnya capaian target vaksinasi  bergantung  peran  pimpinan daearah  pemda   masyarakat"
"160","   terobosan     mengumpulkan masyarakat   mengikuti vaksinasi  pemdaper"
"161","  suksesnya capaian target vaksinasi  bergantung  peran  pimpinan daearah  pemda   masyarakat"
"162","   sosialisasi  edukasi vaksin covid kpd masyarakat yg minim pengetahuan krn    salah "
"163","   sosialisasi  edukasi vaksin covid kpd masyarakat yg minim pengetahuan krn    salah "
"164","  suksesnya capaian target vaksinasi  bergantung  peran  pimpinan daearah  pemda   masyarakat"
"165","   terobosan     mengumpulkan masyarakat   mengikuti vaksinasi  pemdaper"
"166","   minggu  mengakselerasi percepatan vaksinasi masyarakat  dosis     pemdapercepatvaksinasi "
"167","   terobosan     mengumpulkan masyarakat   mengikuti vaksinasi  pemdaper"
"168","   sosialisasi  edukasi vaksin covid kpd masyarakat yg minim pengetahuan krn    salah "
"169","  percepatan vaksinasi  keselamatan masyarakat   pemdapercepatvaksinasi "
"170","   terobosan     mengumpulkan masyarakat   mengikuti vaksinasi  pemdaperc"
"171","  semoga  kepala daerah    utk mempercepat vaksinasi massal kpd masyarakat   pemdapercepat"
"172","  mendagri  pemda melakukn  terobosan     mengumpulkan masyarakat   mengiku"
"173","  percepatan vaksinasi  keselamatan masyarakat   pemdapercepatvaksinasi "
"174","   terobosan     mengumpulkan masyarakat   mengikuti vaksinasi  pemda"
"175","   sosialisasi  edukasi vaksin covid kpd masyarakat yg minim pengetahuan krn    salah "
"176","   terobosan     mengumpulkan masyarakat   mengikuti vaksinasi  pemdaperc"
"177","  suksesnya capaian target vaksinasi  bergantung  peran  pimpinan daearah  pemda   masyarakat"
"178","  suksesnya capaian target vaksinasi  bergantung  peran  pimpinan daearah  pemda   masyarakat"
"179","  semoga  kepala daerah    utk mempercepat vaksinasi massal kpd masyarakat   pemdapercepat"
"180","  suksesnya capaian target vaksinasi  bergantung  peran  pimpinan daearah  pemda   masyarakat"
"181","  suksesnya capaian target vaksinasi  bergantung  peran  pimpinan daearah  pemda   masyarakat"
"182","   terobosan     mengumpulkan masyarakat   mengikuti vaksinasi   pemdape"
